p,max_size,num_components,sizes
0.0001,353,4992,"{1: 3642, 2: 729, 24: 2, 8: 19, 3: 229, 4: 127, 5: 76, 10: 6, 353: 1, 13: 5, 150: 1, 7: 30, 44: 1, 37: 1, 11: 10, 22: 2, 9: 18, 15: 3, 6: 38, 16: 3, 32: 1, 14: 4, 18: 2, 20: 1, 68: 1, 12: 9, 29: 1, 23: 1, 73: 1, 21: 4, 26: 2, 19: 4, 28: 1, 76: 1, 103: 1, 86: 1, 31: 2, 94: 1, 27: 2, 30: 1, 17: 3, 72: 1, 65: 1, 99: 1, 53: 1, 39: 1}"
0.0001,146,5010,"{120: 1, 7: 34, 4: 117, 11: 9, 2: 647, 1: 3684, 19: 9, 3: 262, 5: 76, 20: 5, 8: 23, 10: 18, 32: 3, 6: 46, 9: 19, 22: 2, 27: 1, 146: 1, 36: 1, 47: 1, 40: 2, 51: 2, 13: 10, 34: 1, 28: 2, 14: 5, 17: 5, 114: 1, 15: 1, 12: 6, 67: 1, 78: 1, 16: 2, 98: 1, 87: 1, 35: 2, 42: 1, 18: 1, 45: 1, 31: 2, 23: 1, 21: 1, 52: 1}"
0.0001,281,5093,"{2: 650, 7: 29, 3: 235, 1: 3811, 16: 6, 4: 129, 8: 20, 9: 14, 5: 66, 64: 1, 11: 12, 6: 38, 10: 13, 45: 1, 135: 1, 13: 5, 41: 1, 26: 4, 14: 3, 34: 1, 38: 1, 18: 3, 12: 7, 17: 2, 20: 4, 19: 3, 59: 1, 15: 8, 21: 4, 50: 1, 29: 3, 36: 1, 24: 1, 27: 2, 28: 1, 63: 1, 51: 1, 229: 1, 40: 1, 33: 2, 43: 1, 25: 1, 281: 1, 23: 2}"
0.0001,295,4973,"{4: 121, 1: 3643, 3: 268, 2: 671, 6: 52, 8: 21, 5: 77, 9: 8, 27: 1, 10: 13, 21: 2, 32: 1, 28: 1, 13: 4, 53: 1, 238: 1, 20: 1, 11: 11, 7: 30, 25: 3, 24: 2, 22: 2, 17: 3, 26: 1, 50: 2, 15: 3, 42: 1, 91: 1, 19: 2, 83: 1, 33: 1, 16: 4, 12: 4, 31: 2, 36: 1, 84: 1, 153: 1, 14: 2, 121: 1, 295: 1, 40: 1, 38: 1, 48: 1, 30: 1, 18: 1, 23: 1, 73: 1}"
0.0001,638,5057,"{8: 15, 1: 3746, 3: 239, 4: 131, 2: 706, 24: 4, 14: 10, 10: 9, 15: 7, 7: 28, 6: 43, 44: 1, 9: 12, 22: 2, 19: 2, 58: 1, 12: 7, 41: 2, 5: 59, 88: 1, 28: 2, 47: 1, 13: 2, 115: 1, 11: 7, 161: 1, 120: 1, 49: 1, 27: 2, 21: 2, 638: 1, 25: 1, 34: 1, 23: 1, 16: 2, 38: 1, 18: 1, 37: 1, 30: 1, 104: 1, 29: 1}"
0.0001,293,4866,"{4: 113, 2: 690, 7: 19, 1: 3545, 3: 258, 23: 4, 5: 63, 6: 49, 17: 4, 11: 12, 9: 15, 27: 3, 8: 17, 13: 8, 10: 14, 12: 6, 29: 3, 15: 3, 31: 1, 21: 4, 251: 1, 26: 2, 24: 1, 37: 3, 110: 1, 70: 1, 40: 1, 18: 4, 75: 1, 22: 1, 293: 1, 20: 1, 28: 3, 194: 1, 59: 1, 25: 1, 14: 4, 178: 1, 19: 1, 32: 1, 34: 1, 47: 1, 16: 2}"
0.0001,169,5133,"{1: 3788, 4: 118, 169: 1, 2: 669, 6: 67, 5: 83, 8: 30, 13: 7, 7: 31, 43: 1, 10: 12, 3: 236, 15: 4, 20: 4, 19: 5, 30: 1, 16: 11, 23: 2, 36: 3, 17: 3, 9: 13, 12: 6, 14: 5, 37: 2, 27: 1, 42: 2, 28: 1, 18: 3, 38: 2, 64: 1, 52: 1, 50: 1, 21: 1, 80: 1, 122: 1, 63: 1, 11: 8, 24: 2, 26: 3, 29: 1, 54: 1}"
0.0001,210,5054,"{1: 3687, 8: 21, 6: 41, 4: 140, 2: 726, 22: 2, 3: 245, 36: 1, 15: 4, 18: 6, 10: 12, 7: 29, 9: 15, 5: 56, 29: 2, 12: 9, 14: 7, 17: 2, 72: 1, 25: 3, 57: 1, 58: 1, 13: 7, 65: 1, 49: 1, 16: 6, 59: 1, 53: 1, 19: 2, 33: 1, 11: 9, 146: 1, 150: 1, 27: 1, 31: 1, 210: 1, 23: 1, 21: 1, 69: 1, 52: 2, 47: 1, 115: 1, 48: 1, 32: 1}"
0.0001,722,5020,"{2: 694, 1: 3698, 3: 266, 8: 23, 10: 12, 5: 61, 14: 1, 6: 42, 4: 107, 15: 2, 7: 26, 13: 7, 16: 3, 64: 1, 722: 1, 19: 3, 9: 16, 17: 3, 22: 4, 30: 2, 37: 1, 12: 10, 43: 1, 31: 1, 34: 1, 40: 1, 11: 12, 54: 1, 75: 1, 25: 1, 18: 4, 185: 1, 120: 1, 23: 3, 20: 2, 56: 1, 21: 3, 26: 1, 27: 2}"
0.0001,370,5021,"{1: 3681, 2: 654, 6: 52, 41: 1, 3: 268, 10: 12, 8: 18, 13: 5, 4: 140, 78: 1, 7: 30, 17: 3, 57: 1, 11: 10, 9: 16, 14: 5, 5: 73, 43: 1, 23: 2, 70: 1, 20: 4, 30: 1, 370: 1, 28: 2, 19: 3, 15: 4, 18: 2, 32: 1, 12: 7, 33: 1, 24: 2, 22: 1, 40: 1, 21: 4, 16: 4, 25: 1, 26: 2, 131: 1, 52: 1, 75: 1, 160: 1, 27: 1, 103: 1}"
0.00011,2339,4555,"{6: 32, 9: 15, 1: 3396, 3: 253, 4: 108, 2: 582, 12: 6, 15: 4, 5: 65, 22: 2, 24: 2, 11: 7, 10: 19, 14: 3, 13: 7, 7: 24, 20: 2, 8: 14, 2339: 1, 26: 2, 16: 3, 50: 1, 17: 3, 25: 1, 34: 1, 33: 1, 21: 1}"
0.00011,1998,4426,"{5: 72, 8: 24, 1: 3285, 2: 596, 13: 6, 10: 14, 3: 210, 4: 95, 16: 4, 18: 2, 21: 2, 12: 4, 6: 35, 25: 2, 7: 32, 15: 6, 11: 7, 22: 3, 19: 2, 36: 1, 9: 9, 24: 1, 30: 1, 23: 2, 27: 1, 35: 1, 26: 1, 20: 2, 40: 1, 99: 1, 72: 1, 230: 1, 1998: 1, 14: 1}"
